bike_expect,bike_freq,n,
 About the same (intention), Much less than before (behavior),6, About the same (intention) [6]  Much less than before (behavior)
 About the same (intention), Somewhat less than before (behavior),76, About the same (intention) [76]  Somewhat less than before (behavior)
 About the same (intention), About the same (behavior),813, About the same (intention) [813]  About the same (behavior)
 About the same (intention), Somewhat more than before (behavior),31, About the same (intention) [31]  Somewhat more than before (behavior)
 About the same (intention), Much more than before (behavior),8, About the same (intention) [8]  Much more than before (behavior)
 Much less than before (intention), Somewhat less than before (behavior),1, Much less than before (intention) [1]  Somewhat less than before (behavior)
 Much less than before (intention), About the same (behavior),7, Much less than before (intention) [7]  About the same (behavior)
 Much less than before (intention), Somewhat more than before (behavior),3, Much less than before (intention) [3]  Somewhat more than before (behavior)
 Much more than before (intention), Much less than before (behavior),1, Much more than before (intention) [1]  Much less than before (behavior)
 Much more than before (intention), Somewhat less than before (behavior),5, Much more than before (intention) [5]  Somewhat less than before (behavior)
 Much more than before (intention), About the same (behavior),4, Much more than before (intention) [4]  About the same (behavior)
 Much more than before (intention), Somewhat more than before (behavior),2, Much more than before (intention) [2]  Somewhat more than before (behavior)
 Somewhat less than before (intention), Somewhat less than before (behavior),1, Somewhat less than before (intention) [1]  Somewhat less than before (behavior)
 Somewhat less than before (intention), About the same (behavior),8, Somewhat less than before (intention) [8]  About the same (behavior)
 Somewhat less than before (intention), Somewhat more than before (behavior),6, Somewhat less than before (intention) [6]  Somewhat more than before (behavior)
 Somewhat more than before (intention), Much less than before (behavior),3, Somewhat more than before (intention) [3]  Much less than before (behavior)
 Somewhat more than before (intention), Somewhat less than before (behavior),26, Somewhat more than before (intention) [26]  Somewhat less than before (behavior)
 Somewhat more than before (intention), About the same (behavior),31, Somewhat more than before (intention) [31]  About the same (behavior)
 Somewhat more than before (intention), Somewhat more than before (behavior),10, Somewhat more than before (intention) [10]  Somewhat more than before (behavior)
 Somewhat more than before (intention), Much more than before (behavior),1, Somewhat more than before (intention) [1]  Much more than before (behavior)
