"ridehail_expect","ridehail_freq","n"
"About the same","Much less than before",2
"About the same","Somewhat less than before",16
"About the same","About the same",870
"About the same","Somewhat more than before",29
"About the same","Much more than before",1
"Much less than before","Somewhat less than before",1
"Much less than before","About the same",29
"Much less than before","Somewhat more than before",7
"Much more than before","Somewhat less than before",1
"Much more than before","About the same",3
"Somewhat less than before","About the same",41
"Somewhat less than before","Somewhat more than before",5
"Somewhat more than before","Much less than before",1
"Somewhat more than before","Somewhat less than before",4
"Somewhat more than before","About the same",26
"Somewhat more than before","Somewhat more than before",4
"Somewhat more than before","Much more than before",2
